Source_syllable_length,Generated_syllable_length
13,13
18,12
9,8
6,11
14,12
12,10
5,16
19,17
4,29
10,12
10,15
22,10
11,13
15,9
53,38
17,13
11,12
23,17
35,32
8,20
30,39
12,5
31,17
15,11
14,17
11,13
22,21
29,21
24,17
12,7
14,15
22,4
15,13
23,13
16,11
9,12
11,8
31,21
13,9
10,14
41,24
38,29
46,33
17,7
43,16
26,19
5,10
13,13
9,10
16,14
20,26
10,12
7,6
17,18
22,33
16,17
11,11
30,24
8,9
21,15
29,28
13,11
7,7
12,20
87,75
66,47
19,7
15,9
16,8
17,18
2,3
5,7
9,17
31,18
23,19
20,17
53,61
16,8
28,13
46,11
24,10
9,16
36,23
24,30
42,34
15,7
55,37
33,30
15,13
16,4
47,23
5,19
22,20
20,16
17,11
11,17
32,29
10,7
30,17
8,6
12,12
6,6
6,6
18,17
7,8
14,11
15,11
10,13
8,19
27,16
14,16
9,11
6,10
11,9
6,6
15,16
12,14
20,16
16,11
22,12
18,20
8,10
10,12
3,8
7,14
13,8
23,20
11,19
6,7
11,9
11,18
16,16
6,10
9,27
7,19
10,8
7,14
10,14
19,13
6,18
24,18
15,13
7,11
24,15
9,11
9,11
13,11
14,12
9,12
12,14
12,18
11,13
17,23
8,22
11,12
11,13
7,10
10,12
9,4
9,17
15,11
24,12
10,13
34,30
19,14
30,9
15,22
17,20
30,32
10,20
12,15
20,16
8,4
13,16
14,15
5,15
16,15
10,9
4,6
5,11
12,19
12,14
7,13
2,10
10,13
23,22
14,15
10,12
14,13
8,8
11,17
28,21
4,13
33,25
18,20
15,14
10,11
19,22
29,25
17,12
16,16
13,17
22,20
35,27
41,20
22,16
30,32
26,21
17,12
18,10
12,11
20,29
13,16
21,17
21,18
10,9
9,14
6,10
12,18
51,35
32,29
28,26
8,8
11,8
11,11
8,9
13,12
8,8
13,11
15,15
12,8
13,10
10,18
10,14
8,8
11,8
6,14
15,22
8,7
9,12
21,20
11,20
16,15
18,27
31,33
19,20
24,21
14,12
21,24
8,7
10,11
16,16
19,17
9,11
23,22
8,12
11,20
23,27
18,19
18,12
11,15
15,15
10,12
9,7
18,8
9,15
10,9
20,12
10,11
28,23
8,20
5,19
10,22
15,7
8,17
10,8
22,19
17,10
11,19
14,10
9,10
10,14
23,28
16,7
8,6
6,11
21,19
27,39
30,19
9,11
13,13
17,15
42,21
13,16
10,27
50,48
20,20
30,20
12,9
19,26
10,6
15,16
15,14
12,11
7,8
9,7
13,15
7,8
4,10
9,15
18,15
11,7
6,12
20,14
5,4
6,7
6,10
10,11
10,13
11,17
7,10
10,4
27,16
33,24
15,4
17,12
13,8
41,23
13,12
9,8
30,15
34,24
11,9
18,7
15,12
13,9
15,12
22,11
21,23
3,7
20,19
13,15
15,16
9,9
9,7
29,30
9,13
26,18
5,6
7,4
16,12
7,9
14,12
13,9
10,12
17,16
17,16
13,8
8,11
14,14
16,16
15,6
10,16
25,16
11,6
9,8
12,11
11,11
9,20
23,11
25,10
16,7
6,7
16,8
8,10
19,19
18,10
23,17
7,7
13,10
12,13
3,5
7,12
22,13
9,5
15,16
16,14
15,7
5,12
12,11
7,10
11,14
17,8
21,15
7,8
25,25
7,10
24,31
4,4
11,11
3,9
24,30
3,8
3,5
22,31
4,16
2,5
4,14
3,15
4,8
3,5
24,14
9,16
8,6
6,20
1,11
4,6
8,20
8,14
9,8
11,8
3,16
9,21
15,30
13,18
11,10
8,14
10,11
6,20
5,8
2,17
6,17
4,17
9,12
8,12
6,13
3,5
9,13
13,8
13,11
5,17
5,8
8,8
11,14
12,16
6,9
5,10
5,11
12,14
13,19
6,16
13,9
8,13
17,6
3,10
7,6
6,19
2,6
7,16
2,12
4,10
6,16
4,11
8,20
3,11
13,5
11,18
11,14
18,16
9,14
15,12
17,17
17,21
14,16
12,11
10,19
12,17
3,11
25,19
18,12
16,13
15,7
6,9
5,16
2,11
6,13
3,8
7,8
6,11
6,14
16,10
4,22
5,8
8,8
16,14
5,11
34,17
14,18
3,5
10,6
